source,mode,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
metadata,major,0.16728176182048993,0.02588894338557735,0.1171404498466961,0.0356495908305276,0.11123089694868556,0.09004464377374272,0.0382659859401006,0.16751964441157266,0.03408440554363338,0.09272715883619839,0.03950089152204068,0.08066562714073418
metadata,minor,0.1556462295111984,0.03462755036633632,0.09903157107324087,0.1044334346698825,0.048477125346135526,0.10397079256257924,0.034020023696857145,0.15515432119981398,0.07456760938348618,0.05334836234206381,0.08307367815831439,0.05364930169009233
bayes,major,0.19986081964787855,0.008950706409774389,0.13008228851403555,0.012228924491626712,0.12647726092483172,0.08544142305728483,0.026321562722834244,0.20646538270328862,0.013283596056517495,0.08842341288223268,0.014490704275598943,0.08797391831409616
bayes,minor,0.1795621050781938,0.016820071868982437,0.10844099673645118,0.11923810590324072,0.02551663977182387,0.11196545699084946,0.02010927183225797,0.1818434471542175,0.07203710752737635,0.03434258542679154,0.08255348442245021,0.04757072728736508
krumhansl,major,0.15195022732711172,0.0533620483369227,0.08327351040918879,0.05575496530270399,0.10480976310122037,0.09787030390045463,0.06030150753768843,0.1241923905240488,0.05719071548217276,0.08758076094759511,0.05479779851639147,0.06891600861450106
krumhansl,minor,0.14221523253201526,0.06021118849696697,0.07908335205571781,0.12087171422152324,0.05841383958660975,0.07930802066951245,0.05706582790384183,0.1067175915524601,0.08941810829027184,0.06043585711076162,0.07503931700741405,0.07121995057290496
temperley,major,0.12987012987012989,0.05194805194805195,0.09090909090909091,0.05194805194805195,0.1168831168831169,0.1038961038961039,0.05194805194805195,0.1168831168831169,0.05194805194805195,0.09090909090909091,0.03896103896103896,0.1038961038961039
temperley,minor,0.12987012987012989,0.05194805194805195,0.09090909090909091,0.1168831168831169,0.05194805194805195,0.1038961038961039,0.05194805194805195,0.1168831168831169,0.09090909090909091,0.05194805194805195,0.03896103896103896,0.1038961038961039
albrecht,major,0.23800000000000004,0.006000000000000002,0.11100000000000003,0.006000000000000002,0.13700000000000004,0.09400000000000003,0.016000000000000004,0.21400000000000005,0.009000000000000001,0.08000000000000002,0.008000000000000002,0.08100000000000002
albrecht,minor,0.22044088176352702,0.0060120240480961915,0.10420841683366731,0.12324649298597193,0.019038076152304607,0.10320641282565128,0.012024048096192383,0.21442885771543083,0.06212424849699398,0.022044088176352703,0.06112224448897795,0.05210420841683366
